Date,Open,High,Low,Close,Adj Close,Volume
2018-08-20,109.750000,109.800003,108.540001,109.029999,95.629929,3238200
2018-08-21,109.500000,111.750000,109.339996,111.510002,97.805138,4714300
2018-08-22,110.639999,112.690002,109.269997,112.190002,98.401581,3999200
2018-08-23,112.180000,113.660004,112.160004,112.400002,98.585747,3038700
2018-08-24,112.959999,113.790001,112.339996,113.639999,99.673363,3191900
2018-08-27,114.650002,115.660004,114.150002,115.250000,101.085503,3686200
2018-08-28,115.739998,116.070000,114.660004,115.019997,100.883759,3214400
2018-08-29,115.410004,115.779999,114.860001,115.470001,101.278473,5113900
2018-08-30,114.919998,115.360001,112.489998,112.580002,98.743645,5688600
2018-08-31,112.629997,113.430000,111.860001,112.400002,98.585747,6550300
2018-09-04,111.019997,112.660004,110.650002,112.540001,98.708557,6160300
2018-09-05,112.379997,112.949997,110.849998,111.129997,97.471840,5369300
2018-09-06,110.989998,111.739998,110.339996,110.889999,97.261353,4813100
2018-09-07,110.449997,111.000000,108.250000,108.459999,95.130005,5349300
2018-09-10,109.169998,109.480003,107.489998,108.320000,95.007202,5138900
2018-09-11,108.059998,108.150002,105.910004,106.050003,93.016190,8165600
2018-09-12,105.000000,105.000000,102.250000,104.540001,91.691788,10182300
2018-09-13,105.150002,106.919998,104.599998,105.720001,92.726768,6311100
2018-09-14,105.959999,107.160004,105.129997,105.360001,92.411003,6485000
2018-09-17,105.290001,105.669998,103.349998,103.699997,90.955025,5598300
2018-09-18,104.029999,105.889999,103.959999,104.910004,92.016312,5654900
2018-09-19,105.120003,107.510002,105.099998,107.370003,94.173965,6588900
2018-09-20,107.879997,108.980003,107.800003,108.489998,95.156303,5562500
2018-09-21,110.500000,110.900002,109.540001,110.050003,96.524597,10923900
2018-09-24,109.010002,110.320000,108.360001,109.800003,96.305321,3531200
2018-09-25,109.250000,109.559998,106.809998,107.550003,94.331856,6523800
2018-09-26,107.480003,108.220001,105.980003,106.220001,93.165321,6478600
2018-09-27,106.440002,107.680000,106.120003,107.290001,94.103806,4704200
2018-09-28,107.220001,107.459999,106.059998,107.290001,94.103806,4556400
2018-10-01,107.669998,108.620003,107.430000,107.739998,94.498482,3661800
2018-10-02,107.250000,109.849998,107.250000,108.459999,95.130005,4718400
2018-10-03,109.029999,109.199997,107.410004,108.180000,94.884422,5353400
2018-10-04,107.320000,107.529999,104.860001,105.870003,92.858330,5846500
2018-10-05,105.550003,105.930000,101.760002,103.279999,90.586655,8778800
2018-10-08,102.220001,103.110001,101.169998,101.930000,89.402557,7458500
2018-10-09,101.930000,103.150002,101.550003,102.870003,90.227051,6041500
2018-10-10,100.559998,101.639999,98.809998,99.239998,87.043182,11243700
2018-10-11,100.500000,102.010002,99.010002,99.529999,87.297523,10100300
2018-10-12,102.449997,102.449997,99.629997,101.089996,88.665817,6889100
2018-10-15,99.699997,100.489998,98.629997,99.430000,87.209816,6637400
2018-10-16,100.320000,102.360001,99.690002,102.150002,89.595505,5894100
2018-10-17,102.900002,103.169998,100.980003,101.540001,89.060501,5061400
2018-10-18,101.500000,101.500000,98.750000,99.540001,87.306297,9668300
2018-10-19,99.150002,100.419998,97.300003,98.260002,86.183609,10492500
2018-10-22,98.650002,100.470001,98.410004,99.720001,87.464172,6881500
2018-10-23,97.180000,100.470001,95.209999,100.250000,87.929039,13925900
2018-10-24,93.250000,96.980003,91.500000,92.010002,80.701752,25121700
2018-10-25,92.260002,93.480003,90.800003,91.769997,80.491241,21038900
2018-10-26,89.690002,92.070000,87.900002,90.559998,79.429939,15855200
2018-10-29,93.080002,93.510002,88.519997,90.180000,79.096672,9869400
2018-10-30,90.089996,93.139999,89.720001,92.989998,82.263725,8734300
2018-10-31,94.000000,94.430000,92.760002,92.830002,82.122177,10301100
2018-11-01,93.379997,97.989998,93.000000,97.599998,86.341972,10972500
2018-11-02,97.760002,97.900002,93.849998,95.059998,84.094955,10088000
2018-11-05,94.910004,96.019997,94.250000,95.660004,84.625740,6189400
2018-11-06,95.470001,97.239998,95.000000,97.139999,85.935013,5413100
2018-11-07,97.800003,97.970001,96.349998,97.199997,85.988098,5525700
2018-11-08,96.260002,98.790001,96.239998,98.480003,87.120445,5948300
2018-11-09,98.110001,98.129997,95.839996,96.099998,85.014969,6256400
2018-11-12,95.040001,95.139999,93.070000,93.470001,82.688362,8688700
2018-11-13,94.110001,96.169998,93.900002,94.480003,83.581848,5930800
2018-11-14,95.820000,96.269997,94.040001,94.699997,83.776466,4975200
2018-11-15,94.510002,98.430000,94.169998,97.959999,86.660423,7689000
2018-11-16,96.629997,98.110001,96.150002,97.849998,86.563126,6767000
2018-11-19,97.500000,97.720001,94.550003,94.620003,83.705681,8265300
2018-11-20,92.910004,97.900002,92.910004,96.839996,85.669624,8230200
2018-11-21,97.750000,98.070000,95.849998,96.129997,85.041512,6437700
2018-11-23,95.370003,96.000000,95.080002,95.099998,84.130325,2066200
2018-11-26,96.410004,96.669998,95.320000,96.379997,85.262680,4687400
2018-11-27,95.489998,96.989998,95.389999,96.279999,85.174217,5044700
2018-11-28,96.699997,98.290001,95.180000,98.260002,86.925827,5659300
2018-11-29,97.989998,98.480003,97.330002,97.430000,86.191566,5938000
2018-11-30,97.779999,99.889999,96.919998,99.849998,88.332413,8685900
2018-12-03,102.500000,102.580002,100.449997,101.169998,89.500160,7828500
2018-12-04,100.760002,101.080002,95.959999,96.110001,85.023834,7487100
2018-12-06,94.110001,97.370003,93.680000,97.320000,86.094246,7329300
2018-12-07,96.669998,97.029999,92.239998,92.379997,81.724075,8837800
2018-12-10,92.440002,94.349998,91.970001,93.800003,82.980293,7549500
2018-12-11,95.760002,96.599998,94.500000,94.540001,83.634933,9942500
2018-12-12,96.790001,97.370003,95.599998,95.809998,84.758430,4945000
2018-12-13,96.239998,96.610001,95.099998,95.839996,84.784981,3647500
2018-12-14,94.660004,95.989998,94.230003,94.260002,83.387222,6318300
2018-12-17,94.279999,94.730003,91.480003,91.919998,81.317131,8260200
2018-12-18,92.849998,95.980003,92.720001,94.540001,83.634933,7675500
2018-12-19,94.339996,94.910004,89.540001,90.529999,80.087479,9854500
2018-12-20,90.769997,91.379997,89.199997,90.089996,79.698235,9235000
2018-12-21,90.449997,93.320000,89.870003,90.410004,79.981323,14349200
2018-12-24,90.000000,90.550003,87.760002,87.800003,77.672371,5621600
2018-12-26,88.800003,93.029999,87.699997,92.980003,82.254898,8075200
2018-12-27,91.360001,93.879997,90.550003,93.809998,82.989143,5882300
2018-12-28,94.059998,95.750000,93.080002,93.809998,82.989143,5022200
